seed,condition,method,instance,family,n_cities,repetition,trial_seed,feasible,tour_length,optimum,optimality_gap,runtime_seconds,status,solver_sha256
202,trained,trained,kroD100,krod,100,0,2841525355,True,27761.0,21294.0,0.30370057293134217,0.05694928299635649,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroD100,krod,100,1,2652636239,True,27470.0,21294.0,0.2900347515732131,0.05956363398581743,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroD100,krod,100,2,2801615576,True,27871.0,21294.0,0.3088663473278858,0.05553438304923475,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroD100,krod,100,3,3329367713,True,27314.0,21294.0,0.28270874424720577,0.055639883037656546,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroD100,krod,100,4,2145085111,True,26912.0,21294.0,0.26383018690710996,0.0532840519445017,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroE100,kroe,100,0,2509676067,True,25869.0,22068.0,0.17224034801522567,0.07601218309719115,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroE100,kroe,100,1,4272706126,True,29134.0,22068.0,0.3201921334058365,0.06306480593048036,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroE100,kroe,100,2,441024675,True,25793.0,22068.0,0.16879644734457133,0.0567921360488981,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroE100,kroe,100,3,1202167509,True,26657.0,22068.0,0.20794816023201015,0.05398233490996063,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,kroE100,kroe,100,4,3001724093,True,29203.0,22068.0,0.3233188326989306,0.057125501916743815,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,pr76,pr,76,0,3365954812,True,141100.0,108159.0,0.3045608779666972,0.0620312710525468,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,pr76,pr,76,1,3543061125,True,155010.0,108159.0,0.4331678362410895,0.10131271497812122,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,pr76,pr,76,2,1491692752,True,151284.0,108159.0,0.39871855324106176,0.06554632901679724,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,pr76,pr,76,3,2540410128,True,145678.0,108159.0,0.3468874527316266,0.07367244700435549,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,pr76,pr,76,4,2957756480,True,150393.0,108159.0,0.390480681219316,0.07254444900900126,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rat99,rat,99,0,2613037264,True,1560.0,1211.0,0.28819157720891825,0.07382796192541718,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rat99,rat,99,1,734532028,True,1523.0,1211.0,0.25763831544178367,0.0768917720997706,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rat99,rat,99,2,3898952856,True,1592.0,1211.0,0.314616019818332,0.08008380106184632,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rat99,rat,99,3,3335867818,True,1516.0,1211.0,0.2518579686209744,0.08244580903556198,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rat99,rat,99,4,3830947544,True,1509.0,1211.0,0.24607762180016515,0.07061807706486434,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rd100,rd,100,0,775008575,True,9893.0,7910.0,0.2506953223767383,0.06439734098967165,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rd100,rd,100,1,4235827685,True,10268.0,7910.0,0.2981036662452592,0.07362771301995963,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rd100,rd,100,2,2762790161,True,10312.0,7910.0,0.30366624525916563,0.07246323698200285,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rd100,rd,100,3,967204645,True,9904.0,7910.0,0.2520859671302149,0.0747523499885574,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,rd100,rd,100,4,2312895608,True,9861.0,7910.0,0.24664981036662453,0.0878384419484064,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,st70,st,70,0,3365707461,True,872.0,675.0,0.29185185185185186,0.06975995900575072,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,st70,st,70,1,3935896191,True,809.0,675.0,0.1985185185185185,0.09357455396093428,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,st70,st,70,2,716267404,True,806.0,675.0,0.19407407407407407,0.07683257304597646,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,st70,st,70,3,566309242,True,815.0,675.0,0.2074074074074074,0.07544640800915658,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
202,trained,trained,st70,st,70,4,2288012795,True,854.0,675.0,0.2651851851851852,0.07220196397975087,FEASIBLE,d057e84bb6cb8d2f13df739d5dfdbdfeaac70d05f50327d916391175598b7ca1
303,trained,trained,berlin52,berlin,52,0,4247480741,True,7821.0,7542.0,0.03699284009546539,0.21928446600213647,FEASIBLE,a7280848576556479ca2ae495621dbccf1972602d6c3030b0c7cafeb25fcddb7
303,trained,trained,berlin52,berlin,52,1,178152545,True,7915.0,7542.0,0.049456377618668786,0.1870990280294791,FEASIBLE,a7280848576556479ca2ae495621dbccf1972602d6c3030b0c7cafeb25fcddb7
303,trained,trained,berlin52,berlin,52,2,440563462,True,8300.0,7542.0,0.10050384513391673,0.20364126900676638,FEASIBLE,a7280848576556479ca2ae495621dbccf1972602d6c3030b0c7cafeb25fcddb7
